routing,pir,avg_delay
oddeven,0.002,14.7226
oddevenbalanced,0.002,15.8301
oddeven,0.004,15.3029
oddevenbalanced,0.004,16.1778
oddeven,0.006,16.3689
oddevenbalanced,0.006,16.1539
oddeven,0.008,17.941
oddevenbalanced,0.008,17.1134
oddeven,0.010,20.5135
oddevenbalanced,0.010,17.7419
oddeven,0.014,92.0122
oddevenbalanced,0.014,22.7929
oddeven,0.018,204.152
oddevenbalanced,0.018,29.0476
oddeven,0.024,295.029
oddevenbalanced,0.024,97.9386
oddeven,0.030,493.275
oddevenbalanced,0.030,26.0313
oddeven,0.036,737.52
oddevenbalanced,0.036,37.3018
oddeven,0.042,1239.78
oddevenbalanced,0.042,134.732
