sel,traffic,pir,seed,avg_delay,throughput_ip,recv_packets
dp,transpose1,0.010,1,21.2364,0.00467217,13029
dp,transpose1,0.010,5,20.8422,0.00460045,12833
dp,transpose1,0.010,10,21.08,0.00460848,12891
dp,transpose1,0.014,1,116.475,0.00657998,18326
dp,transpose1,0.014,5,70.8066,0.00647174,18011
dp,transpose1,0.014,10,104.836,0.00654394,18282
dp,transpose1,0.018,1,278.43,0.0079454,22133
dp,transpose1,0.018,5,274.829,0.00786859,21944
dp,transpose1,0.018,10,271.26,0.00793277,22183
dp,transpose1,0.024,1,501.526,0.00978448,27260
dp,transpose1,0.024,5,480.446,0.00964583,26809
dp,transpose1,0.024,10,479.734,0.00970606,27058
dp,transpose1,0.030,1,849.613,0.010961,30470
dp,transpose1,0.030,5,869.723,0.0109719,30649
dp,transpose1,0.030,10,810.669,0.0109573,30543
dp,transpose1,0.038,1,1510.93,0.0108718,30188
dp,transpose1,0.038,5,1534.17,0.0110162,30749
dp,transpose1,0.038,10,1532.91,0.0109128,30389
bufferlevel,transpose1,0.010,1,21.9814,0.00465918,12999
bufferlevel,transpose1,0.010,5,21.7682,0.00461123,12845
bufferlevel,transpose1,0.010,10,22.0308,0.00463775,12964
bufferlevel,transpose1,0.014,1,63.2474,0.00653987,18241
bufferlevel,transpose1,0.014,5,64.2797,0.00648839,18015
bufferlevel,transpose1,0.014,10,73.7879,0.00647055,18063
bufferlevel,transpose1,0.018,1,238.53,0.00794127,22148
bufferlevel,transpose1,0.018,5,236.599,0.00785063,21849
bufferlevel,transpose1,0.018,10,214.085,0.00787284,21943
bufferlevel,transpose1,0.024,1,441.069,0.00979705,27296
bufferlevel,transpose1,0.024,5,470.506,0.00968906,26965
bufferlevel,transpose1,0.024,10,434.422,0.00972246,27078
bufferlevel,transpose1,0.030,1,796.921,0.0108379,30271
bufferlevel,transpose1,0.030,5,789.044,0.0108181,30073
bufferlevel,transpose1,0.030,10,754.212,0.0108293,30269
bufferlevel,transpose1,0.038,1,1371.28,0.0111947,31043
bufferlevel,transpose1,0.038,5,1356.39,0.0112529,31314
bufferlevel,transpose1,0.038,10,1322.06,0.0112627,31446
